rule_id,stage,operation,nr_ref,field,before,after,reason,source,confidence
CORR-8537D90A82C2,V5→V6,update,SOiA-20260420-29895,wysokosc_nad_terenem_m,58.0,11.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-B4FF4A23ADAE,V5→V6,update,SOiA-20260420-47679,wysokosc_nad_terenem_m,65.0,10.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-FC8AB878A839,V5→V6,update,SOiA-20260422-13326,wysokosc_nad_terenem_m,84.0,10.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-7A6DD5ADBA2A,V5→V6,update,SOiA-20260422-13960,wysokosc_nad_terenem_m,62.0,11.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-7C9795130169,V5→V6,update,SOiA-20260422-30714,wysokosc_nad_terenem_m,67.0,10.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-80661F4031FF,V5→V6,update,SOiA-20260422-40834,wysokosc_nad_terenem_m,83.0,11.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-A481FC896A7B,V5→V6,update,SOiA-20260422-46340,wysokosc_nad_terenem_m,67.0,10.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-C64865573F11,V5→V6,update,SOiA-20260422-47496,wysokosc_nad_terenem_m,67.0,10.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-8BC2C1BBEB21,V5→V6,update,SOiA-20260422-48467,wysokosc_nad_terenem_m,73.0,11.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-0463C171CDFC,V5→V6,update,SOiA-20260422-55963,wysokosc_nad_terenem_m,97.0,10.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-3234630E14E6,V5→V6,update,SOiA-20260422-56684,wysokosc_nad_terenem_m,63.0,11.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-7900648FDCB2,V5→V6,update,SOiA-20260422-60011,wysokosc_nad_terenem_m,63.0,11.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-BFB8D8136B5A,V5→V6,update,SOiA-20260422-60066,wysokosc_nad_terenem_m,52.0,11.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-B868A97A0275,V5→V6,update,SOiA-20260422-62819,wysokosc_nad_terenem_m,80.0,11.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
CORR-04443416AE53,V5→V6,update,SOiA-20260422-72157,wysokosc_nad_terenem_m,67.0,10.5,Korekta wysokości montażu zgodnie z kontrolami domenowymi V5–V8.,inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V5.csv -> inwentaryzacja-syren-2026-05-05.normalized.analysis.final.V6.csv,1.0
