teryt_woj,wojewodztwo,risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,pct_ge65_of_total,pct_outside_ge65_of_total
02,DOLNOŚLĄSKIE,niskie ryzyko,114632.86852971104,114749.29025027502,85852.09399548631,85957.82299254872,28780.77453422475,28791.4672577263,74.89,25.11
02,DOLNOŚLĄSKIE,wysokie ryzyko,272911.3918880924,271998.5476613706,233384.5080302575,231765.9241263838,39526.88385783477,40232.62353498686,85.52,14.48
04,KUJAWSKO-POMORSKIE,niskie ryzyko,27976.53782709309,27980.373317458485,14444.500606915051,14199.208853011993,13532.037220178034,13781.164464446494,51.63,48.37
04,KUJAWSKO-POMORSKIE,wysokie ryzyko,34591.85037390843,35628.91729418983,21995.845667937705,23711.187971075964,12596.004705970729,11917.729323113865,63.59,36.41
06,LUBELSKIE,niskie ryzyko,18930.03861033929,18786.73670700517,14394.003490523572,14295.729787076194,4536.035119815713,4491.006919928969,76.04,23.96
06,LUBELSKIE,wysokie ryzyko,22193.18933814219,22920.63349618733,18891.22984740308,19606.221985599732,3301.9594907391115,3314.4115105876012,85.12,14.88
08,LUBUSKIE,niskie ryzyko,19699.775567743178,19449.667235785422,11947.568078944409,11737.401457195583,7752.207488798771,7712.265778589836,60.65,39.35
08,LUBUSKIE,wysokie ryzyko,24538.667397252153,24684.76148099448,19000.36920239712,19130.29093743163,5538.298194855037,5554.470543562848,77.43,22.57
14,MAZOWIECKIE,niskie ryzyko,193837.1503722664,191797.37302391385,151247.36596754496,149381.7557295939,42589.7844047214,42415.61729431997,78.03,21.97
14,MAZOWIECKIE,wysokie ryzyko,443448.113225425,441762.7498033144,402530.177960247,401189.4957517296,40917.93526517809,40573.25405158489,90.77,9.23
12,MAŁOPOLSKIE,niskie ryzyko,169070.1120794331,166898.41307490258,126519.38010088938,125044.93697615234,42550.731978543685,41853.476098750216,74.83,25.17
12,MAŁOPOLSKIE,wysokie ryzyko,267310.42698398116,269628.0518255499,224003.3129005225,225395.03263521267,43307.114083458735,44233.0191903372,83.8,16.2
16,OPOLSKIE,niskie ryzyko,32101.352612708728,31893.52131518069,22190.123267833424,22027.12372364923,9911.229344875304,9866.397591531451,69.13,30.87
16,OPOLSKIE,wysokie ryzyko,82186.55322522158,82558.43690862045,67222.31429501537,67441.39722985528,14964.23893020621,15117.0396787652,81.79,18.21
18,PODKARPACKIE,niskie ryzyko,113909.34024156052,113469.75921722873,84761.69553576273,84351.37982255715,29147.644705797786,29118.379394671563,74.41,25.59
18,PODKARPACKIE,wysokie ryzyko,158189.89681312605,158544.88009264803,130801.3350124012,130878.52070066886,27388.56180072485,27666.359391979226,82.69,17.31
20,PODLASKIE,niskie ryzyko,3022.4662139496713,2882.5511820231945,1890.78232244329,1759.5623811372666,1131.6838915063806,1122.9888008859275,62.56,37.44
20,PODLASKIE,wysokie ryzyko,1193.1631038005603,1149.528622647247,676.2410956486628,624.8954382031802,516.9220081518972,524.6331844440671,56.68,43.32
22,POMORSKIE,niskie ryzyko,47609.14937453789,46725.87194281151,35026.1507825312,34095.91044923468,12582.998592006688,12629.96149357682,73.57,26.43
22,POMORSKIE,wysokie ryzyko,77932.05168517589,79182.94281295426,65368.39873730391,65670.98225761691,12563.652947871968,13511.96055533737,83.88,16.12
28,WARMIŃSKO-MAZURSKIE,niskie ryzyko,7900.675810300023,7858.105959626323,4194.394296550904,4236.927849454851,3706.281513749118,3621.178110171472,53.09,46.91
28,WARMIŃSKO-MAZURSKIE,wysokie ryzyko,6374.24427478705,6673.233800086659,4304.408354954177,4545.431464341427,2069.8359198328726,2127.8023357452316,67.53,32.47
30,WIELKOPOLSKIE,niskie ryzyko,21768.58329778947,21231.00829469338,16491.76916581986,16009.56343612845,5276.814131969609,5221.444858564927,75.76,24.24
30,WIELKOPOLSKIE,wysokie ryzyko,22326.66605684276,22161.33470248762,18652.430154919955,18558.98284773634,3674.2359019228015,3602.3518547512795,83.54,16.46
32,ZACHODNIOPOMORSKIE,niskie ryzyko,8077.846622125737,9275.017375902622,6236.269542227047,7474.688940622632,1841.577079898691,1800.328435279991,77.2,22.8
32,ZACHODNIOPOMORSKIE,wysokie ryzyko,11377.66878622703,10892.953587122614,10329.529813377174,9751.411256034662,1048.1389728498566,1141.542331087952,90.79,9.21
10,ŁÓDZKIE,niskie ryzyko,9237.6965293491,9004.639081924981,7055.462924807362,6836.506348639072,2182.2336045417396,2168.132733285907,76.38,23.62
10,ŁÓDZKIE,wysokie ryzyko,10735.690414119752,10729.070811586484,9042.7109352373,9042.43078527436,1692.9794788824554,1686.6400263121334,84.23,15.77
24,ŚLĄSKIE,niskie ryzyko,29974.677332415144,30180.37922017764,21123.571738160394,21255.896206551355,8851.105594254752,8924.48301362628,70.47,29.53
24,ŚLĄSKIE,wysokie ryzyko,69543.07236394542,71830.74029061708,58461.66158597008,60589.10828225124,11081.41077797533,11241.632008365852,84.07,15.93
26,ŚWIĘTOKRZYSKIE,niskie ryzyko,21970.77650449656,21181.767773874853,15001.390697129673,14289.829214557984,6969.385807366884,6891.938559316866,68.28,31.72
26,ŚWIĘTOKRZYSKIE,wysokie ryzyko,22944.534236260173,24055.67989294495,16882.4355959753,17835.86599560071,6062.098640284873,6219.813897344241,73.58,26.42
