risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,poziom,teryt_woj,wojewodztwo,teryt_pow,powiat,teryt_gmi,gmina
niskie ryzyko,839719.0475258187,833364.4749727844,618376.5225135694,612954.2441681115,221342.5250122493,220410.230804673,kraj,,,,,,
wysokie ryzyko,1527797.1801663074,1534402.4630833226,1301546.909189568,1305737.1796650167,226250.27097673964,228665.2834183058,kraj,,,,,,
niskie ryzyko,114632.86852971104,114749.29025027502,85852.09399548631,85957.82299254872,28780.77453422475,28791.4672577263,wojewodztwo,02,DOLNOŚLĄSKIE,,,,
wysokie ryzyko,272911.3918880924,271998.5476613706,233384.5080302575,231765.9241263838,39526.88385783477,40232.62353498686,wojewodztwo,02,DOLNOŚLĄSKIE,,,,
niskie ryzyko,27976.53782709309,27980.373317458485,14444.500606915051,14199.208853011993,13532.037220178034,13781.164464446494,wojewodztwo,04,KUJAWSKO-POMORSKIE,,,,
wysokie ryzyko,34591.85037390843,35628.91729418983,21995.845667937705,23711.187971075964,12596.004705970729,11917.729323113865,wojewodztwo,04,KUJAWSKO-POMORSKIE,,,,
niskie ryzyko,18930.03861033929,18786.73670700517,14394.003490523572,14295.729787076194,4536.035119815713,4491.006919928969,wojewodztwo,06,LUBELSKIE,,,,
wysokie ryzyko,22193.18933814219,22920.63349618733,18891.22984740308,19606.221985599732,3301.9594907391115,3314.4115105876012,wojewodztwo,06,LUBELSKIE,,,,
niskie ryzyko,19699.775567743178,19449.667235785422,11947.568078944409,11737.401457195583,7752.207488798771,7712.265778589836,wojewodztwo,08,LUBUSKIE,,,,
wysokie ryzyko,24538.667397252153,24684.76148099448,19000.36920239712,19130.29093743163,5538.298194855037,5554.470543562848,wojewodztwo,08,LUBUSKIE,,,,
niskie ryzyko,193837.1503722664,191797.37302391385,151247.36596754496,149381.7557295939,42589.7844047214,42415.61729431997,wojewodztwo,14,MAZOWIECKIE,,,,
wysokie ryzyko,443448.113225425,441762.7498033144,402530.177960247,401189.4957517296,40917.93526517809,40573.25405158489,wojewodztwo,14,MAZOWIECKIE,,,,
niskie ryzyko,169070.1120794331,166898.41307490258,126519.38010088938,125044.93697615234,42550.731978543685,41853.476098750216,wojewodztwo,12,MAŁOPOLSKIE,,,,
wysokie ryzyko,267310.42698398116,269628.0518255499,224003.3129005225,225395.03263521267,43307.114083458735,44233.0191903372,wojewodztwo,12,MAŁOPOLSKIE,,,,
niskie ryzyko,32101.352612708728,31893.52131518069,22190.123267833424,22027.12372364923,9911.229344875304,9866.397591531451,wojewodztwo,16,OPOLSKIE,,,,
wysokie ryzyko,82186.55322522158,82558.43690862045,67222.31429501537,67441.39722985528,14964.23893020621,15117.0396787652,wojewodztwo,16,OPOLSKIE,,,,
niskie ryzyko,113909.34024156052,113469.75921722873,84761.69553576273,84351.37982255715,29147.644705797786,29118.379394671563,wojewodztwo,18,PODKARPACKIE,,,,
wysokie ryzyko,158189.89681312605,158544.88009264803,130801.3350124012,130878.52070066886,27388.56180072485,27666.359391979226,wojewodztwo,18,PODKARPACKIE,,,,
niskie ryzyko,3022.4662139496713,2882.5511820231945,1890.78232244329,1759.5623811372666,1131.6838915063806,1122.9888008859275,wojewodztwo,20,PODLASKIE,,,,
wysokie ryzyko,1193.1631038005603,1149.528622647247,676.2410956486628,624.8954382031802,516.9220081518972,524.6331844440671,wojewodztwo,20,PODLASKIE,,,,
niskie ryzyko,47609.14937453789,46725.87194281151,35026.1507825312,34095.91044923468,12582.998592006688,12629.96149357682,wojewodztwo,22,POMORSKIE,,,,
