gmina,powiat,wojewodztwo,teryt_gmi,pop_risk_total,pop_ge65,pop_outside_ge65,outside_share,risk_class_max,priority_score_v12,rank,new_large_siren_gap_count,gap_count_not_priced_as_integration,estimated_new_siren_gap_cost_pln,new_siren_cost_per_pop_outside_ge65_pln
Kraków,Kraków,MAŁOPOLSKIE,1261011,146079.24772486763,133598.7414893672,12480.506235500434,0.0854365450937068,wysokie ryzyko,69.82,210,8,79,320000,25.64
Wrocław,Wrocław,DOLNOŚLĄSKIE,0264011,152388.1727038349,143210.78664385178,9177.386059983131,0.0602237424148349,wysokie ryzyko,69.98,205,19,78,760000,82.81
Niepołomice,wielicki,MAŁOPOLSKIE,1219043,14087.922488359569,5560.510596758666,8527.4118916009,0.6052994611978343,wysokie ryzyko,77.69,56,1,37,40000,4.69
Łomianki,warszawski zachodni,MAZOWIECKIE,1432053,24032.52501165602,15529.185428865136,8503.339582790886,0.3538263074174136,wysokie ryzyko,75.6,85,2,22,80000,9.41
Szczucin,dąbrowski,MAŁOPOLSKIE,1204073,12680.424923166936,4408.00046943995,8272.424453726984,0.6523775428545296,wysokie ryzyko,78.93,40,0,129,0,0.0
Kęty,oświęcimski,MAŁOPOLSKIE,1213043,21656.85983385052,14730.71108697987,6926.148746870651,0.3198131585099336,wysokie ryzyko,74.67,106,4,43,160000,23.1
Wieliszew,legionowski,MAZOWIECKIE,1408052,17502.22103535614,10686.7517484914,6815.469286864737,0.3894059658540962,wysokie ryzyko,74.03,118,4,50,160000,23.48
Jabłonna,legionowski,MAZOWIECKIE,1408022,19412.658120196873,12654.419302553546,6758.238817643328,0.3481356739400915,wysokie ryzyko,73.29,129,4,34,160000,23.67
Czernica,wrocławski,DOLNOŚLĄSKIE,0223012,9659.14199065696,4255.682413163813,5403.459577493146,0.5594140331221732,wysokie ryzyko,79.46,36,2,14,80000,14.81
Warszawa,Warszawa,MAZOWIECKIE,1465011,412200.60372604686,406969.9453568008,5230.6583692460845,0.0126895941489751,wysokie ryzyko,67.57,257,11,83,440000,84.12
Czosnów,nowodworski,MAZOWIECKIE,1414022,9868.29022445353,4859.534491332995,5008.755733120536,0.5075606431506124,wysokie ryzyko,76.27,76,5,85,200000,39.93
Gorzyce,tarnobrzeski,PODKARPACKIE,1820022,12951.957817908566,8172.450661242165,4779.507156666401,0.3690181225001996,wysokie ryzyko,74.47,110,5,31,200000,41.85
Świdnica,świdnicki,DOLNOŚLĄSKIE,0219011,4978.707900280474,239.33110672271857,4739.376793557754,0.951929072458893,wysokie ryzyko,90.09,1,2,4,80000,16.88
Nowy Dwór Mazowiecki,nowodworski,MAZOWIECKIE,1414011,20674.505183698755,16221.382283099414,4453.122900599341,0.2153919941992371,wysokie ryzyko,78.72,43,3,12,120000,26.95
