gap_id,risk_class,pop_outside_night,pop_outside_day,area_ha,teryt_gmi,wojewodztwo,powiat,gmina,priority_score_v12,priority_class,recommended_action_seed,procurement_action,estimated_new_siren_cost_pln,new_siren_cost_per_pop_outside_night_pln,x_2180,y_2180,lat,lon,estimated_unit_cost_pln,cost_per_pop_outside_night_pln
11395,wysokie ryzyko,1526.0782975705806,1417.593542447305,24.0,0464011,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,99.18,A,new_siren_likely,new_large_siren,40000,26.21,504850.0,532850.0,52.6613417,19.0717307,40000,26.21
11436,wysokie ryzyko,104.6697747636254,60.09339078475188,1.0,0464011,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,97.87,A,new_siren_likely,new_large_siren,40000,382.15,504450.0,532750.0,52.6604459,19.0658134,40000,382.15
14019,wysokie ryzyko,129.43199556249942,129.43199556249945,3.0,3021103,WIELKOPOLSKIE,poznański,Mosina,95.95,A,new_siren_likely,new_large_siren,40000,309.04,353850.0,489050.0,52.2480471,16.8584827,40000,309.04
22525,wysokie ryzyko,114.81312848460078,113.82884217823737,2.0,0219021,DOLNOŚLĄSKIE,świdnicki,Świebodzice,94.87,A,new_siren_likely,new_large_siren,40000,348.39,309900.0,335150.0,50.8519722,16.2984204,40000,348.39
15247,wysokie ryzyko,507.20067745865776,486.501424285792,4.0,1417043,MAZOWIECKIE,otwocki,Karczew,93.36,A,new_siren_likely,new_large_siren,40000,78.86,654250.0,471450.0,52.0876742,21.2521049,40000,78.86
30959,wysokie ryzyko,64.59028053657686,64.59028053657686,1.0,2417142,ŚLĄSKIE,żywiecki,Ujsoły,91.79,A,modernizacja_or_new,not_priced_as_integration,0,0.0,509650.0,179650.0,49.4842202,19.1332705,0,0.0
21162,wysokie ryzyko,61.98227885435752,71.39432811242185,1.0,2610011,ŚWIĘTOKRZYSKIE,skarżyski,Skarżysko-Kamienna,91.09,A,modernizacja_or_new,not_priced_as_integration,0,0.0,629850.0,361350.0,51.1042017,20.8552989,0,0.0
22490,wysokie ryzyko,4225.894495105481,4432.996661483344,202.0,0219011,DOLNOŚLĄSKIE,świdnicki,Świdnica,90.31,A,new_siren_likely,new_large_siren,40000,9.47,324700.0,334350.0,50.8494602,16.5089104,40000,9.47
20627,wysokie ryzyko,102.19487617610484,102.19487617610486,4.0,0209052,DOLNOŚLĄSKIE,legnicki,Legnickie Pole,89.61,A,new_siren_likely,new_large_siren,40000,391.41,301900.0,369500.0,51.1578957,16.1661184,40000,391.41
22660,wysokie ryzyko,312.2059163032442,310.83068985135225,17.0,0219011,DOLNOŚLĄSKIE,świdnicki,Świdnica,89.55,A,new_siren_likely,new_large_siren,40000,128.12,323200.0,331850.0,50.8265364,16.4888234,40000,128.12
11488,wysokie ryzyko,911.8808867629076,792.1459722503209,52.0,0464011,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,89.45,A,new_siren_likely,new_large_siren,40000,43.87,508000.0,531950.0,52.653211,19.1182968,40000,43.87
11502,wysokie ryzyko,67.51715832513186,54.34998756375354,2.0,0464011,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,89.4,A,modernizacja_or_new,not_priced_as_integration,0,0.0,502800.0,531950.0,52.6532628,19.0414039,0,0.0
11138,wysokie ryzyko,1078.6331683880294,1077.063494902262,69.0,0464011,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,88.87,A,new_siren_likely,new_large_siren,40000,37.08,503550.0,534750.0,52.6784378,19.0525244,40000,37.08
22632,wysokie ryzyko,78.4562980242739,156.7192583434069,3.0,0219011,DOLNOŚLĄSKIE,świdnicki,Świdnica,88.2,A,modernizacja_or_new,not_priced_as_integration,0,0.0,325100.0,332950.0,50.8369996,16.5152576,0,0.0
20554,wysokie ryzyko,446.7577720096155,423.46327301361185,44.0,0220042,DOLNOŚLĄSKIE,trzebnicki,Wisznia Mała,88.03,A,new_siren_likely,new_large_siren,40000,89.53,361900.0,370700.0,51.1863255,17.0233095,40000,89.53
