candidate_id,nr_ref,wojewodztwo,powiat,gmina,teryt_gmi,recommended_action,priority_class,priority_score_v13,risk_class,recommended_power_class_w,new_pop_ge65_proxy,flood_risk_pop_ge65_gain_proxy,redundancy_gain_pop_proxy,failure_loss_pop_night_proxy,estimated_cost_pln,cost_per_new_person_ge65_pln,candidate_lat,candidate_lon,candidate_source,candidate_type,effect_method
NEW-11395,,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,0464011,nowa_syrena,A,100.0,wysokie ryzyko,1200,1526.08,1526.08,0.0,0.0,40000,26.21,52.6603339,19.0687178,nearest_public_osm_object,office,gap_population_proxy
NEW-14019,,WIELKOPOLSKIE,poznański,Mosina,3021103,nowa_syrena,A,100.0,wysokie ryzyko,600,129.43,129.43,0.0,0.0,40000,309.04,52.2445639,16.8598861,nearest_public_osm_object,kindergarten,gap_population_proxy
NEW-11436,,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,0464011,nowa_syrena,A,100.0,wysokie ryzyko,600,104.67,104.67,0.0,0.0,40000,382.15,52.6591335,19.0652697,nearest_public_osm_object,school,gap_population_proxy
NEW-22525,,DOLNOŚLĄSKIE,świdnicki,Świebodzice,0219021,nowa_syrena,A,99.87,wysokie ryzyko,600,114.81,114.81,0.0,0.0,40000,348.39,50.8538472,16.3093153,nearest_public_osm_object,school,gap_population_proxy
NEW-15247,,MAZOWIECKIE,otwocki,Karczew,1417043,nowa_syrena,A,98.36,wysokie ryzyko,900,507.2,507.2,0.0,0.0,40000,78.86,52.0884098,21.2511641,nearest_public_osm_object,public,gap_population_proxy
NEW-30959,,ŚLĄSKIE,żywiecki,Ujsoły,2417142,walidacja_terenowa,A,96.79,wysokie ryzyko,300,64.59,64.59,0.0,0.0,0,0.0,49.4777337,19.1443657,nearest_public_osm_object,office,gap_population_proxy
NEW-21162,,ŚWIĘTOKRZYSKIE,skarżyski,Skarżysko-Kamienna,2610011,walidacja_terenowa,A,96.09,wysokie ryzyko,300,61.98,61.98,0.0,0.0,0,0.0,51.1060847,20.8579625,nearest_public_osm_object,office,gap_population_proxy
NEW-22490,,DOLNOŚLĄSKIE,świdnicki,Świdnica,0219011,nowa_syrena,A,95.31,wysokie ryzyko,1200,4225.89,4225.89,0.0,0.0,40000,9.47,50.8514852,16.5005331,nearest_public_osm_object,office,gap_population_proxy
NEW-20627,,DOLNOŚLĄSKIE,legnicki,Legnickie Pole,0209052,nowa_syrena,A,94.61,wysokie ryzyko,600,102.19,102.19,0.0,0.0,40000,391.41,51.1651657,16.1476472,nearest_public_osm_object,office,gap_population_proxy
NEW-22660,,DOLNOŚLĄSKIE,świdnicki,Świdnica,0219011,nowa_syrena,A,94.55,wysokie ryzyko,900,312.21,312.21,0.0,0.0,40000,128.12,50.8296699,16.4923981,nearest_public_osm_object,school,gap_population_proxy
NEW-11488,,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,0464011,nowa_syrena,A,94.45,wysokie ryzyko,900,911.88,911.88,0.0,0.0,40000,43.87,52.651818,19.1200601,nearest_public_osm_object,office,gap_population_proxy
NEW-11502,,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,0464011,walidacja_terenowa,A,94.4,wysokie ryzyko,300,67.52,67.52,0.0,0.0,0,0.0,52.6509179,19.0434885,nearest_public_osm_object,office,gap_population_proxy
NEW-11138,,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,0464011,nowa_syrena,A,93.87,wysokie ryzyko,1200,1078.63,1078.63,0.0,0.0,40000,37.08,52.6790672,19.0522613,nearest_public_osm_object,office,gap_population_proxy
NEW-22632,,DOLNOŚLĄSKIE,świdnicki,Świdnica,0219011,walidacja_terenowa,A,93.2,wysokie ryzyko,300,78.46,78.46,0.0,0.0,0,0.0,50.8423808,16.4973721,nearest_public_osm_object,school,gap_population_proxy
NEW-20554,,DOLNOŚLĄSKIE,trzebnicki,Wisznia Mała,0220042,nowa_syrena,A,93.03,wysokie ryzyko,900,446.76,446.76,0.0,0.0,40000,89.53,51.1827415,17.0261594,nearest_public_osm_object,office,gap_population_proxy
NEW-24355,,OPOLSKIE,opolski,Tarnów Opolski,1609112,nowa_syrena,A,92.8,wysokie ryzyko,900,506.4,506.4,0.0,0.0,40000,78.99,50.557479,17.9744643,nearest_public_osm_object,school,gap_population_proxy
NEW-13813,,WIELKOPOLSKIE,poznański,Puszczykowo,3021021,nowa_syrena,A,92.75,wysokie ryzyko,900,641.5,641.5,0.0,0.0,40000,62.35,52.2931232,16.8649965,nearest_public_osm_object,civic,gap_population_proxy
NEW-27892,,MAŁOPOLSKIE,wielicki,Wieliczka,1219053,nowa_syrena,A,92.6,wysokie ryzyko,600,173.22,173.22,0.0,0.0,40000,230.92,50.017264,20.0993584,nearest_public_osm_object,office,gap_population_proxy
NEW-341,,POMORSKIE,pucki,Kosakowo,2211052,nowa_syrena,A,92.32,wysokie ryzyko,900,314.04,314.04,0.0,0.0,40000,127.37,54.6297085,18.5031749,nearest_public_osm_object,office,gap_population_proxy
NEW-28580,,ŚLĄSKIE,bielski,Czechowice-Dziedzice,2402043,nowa_syrena,A,92.25,wysokie ryzyko,900,466.57,466.57,0.0,0.0,40000,85.73,49.9318966,19.0144651,nearest_public_osm_object,office,gap_population_proxy
NEW-15134,,MAZOWIECKIE,otwocki,Otwock,1417021,nowa_syrena,A,92.18,wysokie ryzyko,900,342.79,342.79,0.0,0.0,40000,116.69,52.0884098,21.2511641,nearest_public_osm_object,public,gap_population_proxy
NEW-21660,,DOLNOŚLĄSKIE,wrocławski,Żórawina,0223092,walidacja_terenowa,A,92.1,wysokie ryzyko,300,69.0,69.0,0.0,0.0,0,0.0,51.031752,17.0038087,nearest_public_osm_object,office,gap_population_proxy
NEW-15312,,MAZOWIECKIE,otwocki,Karczew,1417043,nowa_syrena,A,92.0,wysokie ryzyko,600,172.81,172.81,0.0,0.0,40000,231.47,52.0879079,21.2396541,nearest_public_osm_object,school,gap_population_proxy
NEW-27845,,MAŁOPOLSKIE,chrzanowski,Alwernia,1203013,nowa_syrena,A,91.93,wysokie ryzyko,900,503.25,503.25,0.0,0.0,40000,79.48,50.0290097,19.5350907,nearest_public_osm_object,school,gap_population_proxy
NEW-17135,,WIELKOPOLSKIE,gostyński,Poniec,3004073,walidacja_terenowa,A,91.69,wysokie ryzyko,300,48.11,48.11,0.0,0.0,0,0.0,51.758397,16.8181992,nearest_public_osm_object,office,gap_population_proxy
NEW-7003,,KUJAWSKO-POMORSKIE,chełmiński,Chełmno,0404011,nowa_syrena,A,91.55,wysokie ryzyko,900,622.45,622.45,0.0,0.0,40000,64.26,53.3461709,18.4004456,nearest_public_osm_object,office,gap_population_proxy
NEW-19748,,DOLNOŚLĄSKIE,legnicki,Chojnów,0209011,nowa_syrena,A,91.45,wysokie ryzyko,600,268.09,268.09,0.0,0.0,40000,149.2,51.271777,15.9359448,nearest_public_osm_object,school,gap_population_proxy
NEW-11543,,KUJAWSKO-POMORSKIE,włocławski,Włocławek,0418132,nowa_syrena,A,91.35,wysokie ryzyko,900,353.47,353.47,0.0,0.0,40000,113.16,52.6319462,19.1846589,nearest_public_osm_object,school,gap_population_proxy
NEW-8393,,KUJAWSKO-POMORSKIE,golubsko-dobrzyński,Golub-Dobrzyń,0405011,nowa_syrena,A,91.0,niskie ryzyko,600,102.4,102.4,0.0,0.0,40000,390.63,53.1145892,19.0550549,nearest_public_osm_object,school,gap_population_proxy
NEW-8374,,KUJAWSKO-POMORSKIE,golubsko-dobrzyński,Golub-Dobrzyń,0405011,walidacja_terenowa,A,90.96,wysokie ryzyko,600,83.17,83.17,0.0,0.0,0,0.0,53.1145892,19.0550549,nearest_public_osm_object,school,gap_population_proxy
NEW-2198,,WARMIŃSKO-MAZURSKIE,elbląski,Elbląg,2804012,nowa_syrena,A,90.91,wysokie ryzyko,600,166.16,166.16,0.0,0.0,40000,240.73,54.186707,19.3650396,nearest_public_osm_object,office,gap_population_proxy
NEW-16714,,LUBUSKIE,zielonogórski,Nowogród Bobrzański,0809053,nowa_syrena,A,90.86,wysokie ryzyko,900,363.24,363.24,0.0,0.0,40000,110.12,51.8008382,15.2325174,nearest_public_osm_object,school,gap_population_proxy
NEW-6966,,KUJAWSKO-POMORSKIE,chełmiński,Chełmno,0404011,nowa_syrena,A,90.66,wysokie ryzyko,900,340.54,340.54,0.0,0.0,40000,117.46,53.3519672,18.4318978,nearest_public_osm_object,school,gap_population_proxy
NEW-11509,,KUJAWSKO-POMORSKIE,Włocławek,Włocławek,0464011,walidacja_terenowa,A,90.58,wysokie ryzyko,900,399.18,399.18,0.0,0.0,0,0.0,52.64902,19.1543549,nearest_public_osm_object,office,gap_population_proxy
NEW-13931,,WIELKOPOLSKIE,poznański,Puszczykowo,3021021,walidacja_terenowa,A,90.53,wysokie ryzyko,900,124.29,124.29,0.0,0.0,0,0.0,52.2507418,16.90211,nearest_public_osm_object,school,gap_population_proxy
NEW-13743,,WIELKOPOLSKIE,poznański,Mosina,3021103,nowa_syrena,A,90.51,niskie ryzyko,600,149.05,149.05,0.0,0.0,40000,268.37,52.3147148,16.9112094,nearest_public_osm_object,school,gap_population_proxy
NEW-8398,,KUJAWSKO-POMORSKIE,toruński,Zławieś Wielka,0415092,nowa_syrena,A,90.48,wysokie ryzyko,900,685.44,685.44,0.0,0.0,40000,58.36,53.1024947,18.2451632,nearest_public_osm_object,school,gap_population_proxy
NEW-21676,,DOLNOŚLĄSKIE,oławski,Jelcz-Laskowice,0215033,nowa_syrena,A,90.47,wysokie ryzyko,900,379.37,379.37,0.0,0.0,40000,105.44,51.0225359,17.3190504,nearest_public_osm_object,school,gap_population_proxy
NEW-26588,,PODKARPACKIE,przeworski,Tryńcza,1814082,walidacja_terenowa,A,90.24,wysokie ryzyko,900,211.35,211.35,0.0,0.0,0,0.0,50.1719997,22.5538456,nearest_public_osm_object,office,gap_population_proxy
NEW-20946,,DOLNOŚLĄSKIE,lubański,Lubań,0210042,walidacja_terenowa,A,90.21,wysokie ryzyko,900,113.64,113.64,0.0,0.0,0,0.0,51.0882847,15.2881022,nearest_public_osm_object,office,gap_population_proxy
NEW-20430,,DOLNOŚLĄSKIE,legnicki,Legnickie Pole,0209052,nowa_syrena,A,90.17,wysokie ryzyko,900,182.13,182.13,0.0,0.0,40000,219.62,51.1975916,16.2064308,nearest_public_osm_object,kindergarten,gap_population_proxy
NEW-29239,,PODKARPACKIE,przemyski,Przemyśl,1813082,nowa_syrena,A,90.13,wysokie ryzyko,900,518.73,518.73,0.0,0.0,40000,77.11,49.7844986,22.7119724,nearest_public_osm_object,school,gap_population_proxy
NEW-26585,,PODKARPACKIE,przeworski,Tryńcza,1814082,walidacja_terenowa,A,90.08,wysokie ryzyko,1200,1311.26,1311.26,0.0,0.0,0,0.0,50.1598228,22.5528817,nearest_public_osm_object,school,gap_population_proxy
EXIST-SOiA-20260423-77143,SOiA-20260423-77143,ŁÓDZKIE,m. Łódź,Łódź,,integracja,A,90.0,,1200,0.0,0.0,0.0,32343.47,5000,0.0,51.734364,19.499094,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260413-75631,SOiA-20260413-75631,DOLNOŚLĄSKIE,m. Wrocław,Wrocław,,integracja,A,90.0,,1500,0.0,0.0,0.0,29832.24,5000,0.0,51.093633,17.006073,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260413-65412,SOiA-20260413-65412,DOLNOŚLĄSKIE,m. Wrocław,Wrocław,,integracja,A,90.0,,1500,0.0,0.0,0.0,28619.94,5000,0.0,51.121829,17.053571,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-76239,SOiA-20260423-76239,ŁÓDZKIE,m. Łódź,Łódź,,integracja,A,90.0,,1200,0.0,0.0,0.0,28124.95,5000,0.0,51.743958,19.392615,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-59295,SOiA-20260422-59295,LUBELSKIE,m. Lublin,Lublin,,integracja,A,90.0,,900,0.0,0.0,0.0,26742.57,5000,0.0,51.223192,22.521432,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-63016,SOiA-20260423-63016,WIELKOPOLSKIE,wrzesiński,Września,,integracja,A,90.0,,1200,0.0,0.0,0.0,26343.68,5000,0.0,52.325569,17.565689,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-86558,SOiA-20260423-86558,ŁÓDZKIE,m. Łódź,Łódź,,integracja,A,90.0,,1200,0.0,0.0,0.0,26299.8,5000,0.0,51.799848,19.454944,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
