rank,site_uid,nr_ref,woj,powiat,gmina,lat,lon,wlasciciel,rodzaj_syreny,moc_w,gsm_status,sk_psp_status,primary_pop_night_ge65,primary_pop_day_ge65,failure_loss_pop_night_proxy,failure_loss_pop_day_proxy,coverage_count_ge65_method,recommended_action,estimated_cost_pln
1,2386,SOiA-20260423-77143,ŁÓDZKIE,m. Łódź,Łódź,51.734364,19.499094,Prezydent Miasta,cyfrowa,1200,NIE,NIE,32343.465928296795,32112.015070923037,32343.47,32112.02,dominant_siren_proxy,integracja,5000
2,19694,SOiA-20260413-75631,DOLNOŚLĄSKIE,m. Wrocław,Wrocław,51.093633,17.006073,Prezydent Miasta,cyfrowa,1500,NIE,NIE,29832.237114257885,29211.989681467672,29832.24,29211.99,dominant_siren_proxy,integracja,5000
3,19740,SOiA-20260413-65412,DOLNOŚLĄSKIE,m. Wrocław,Wrocław,51.121829,17.053571,Prezydent Miasta,cyfrowa,1500,NIE,NIE,28619.9389140888,28588.840300050393,28619.94,28588.84,dominant_siren_proxy,integracja,5000
4,2883,SOiA-20260423-76239,ŁÓDZKIE,m. Łódź,Łódź,51.743958,19.392615,Prezydent Miasta,cyfrowa,1200,NIE,NIE,28124.952575109673,28141.78211348484,28124.95,28141.78,dominant_siren_proxy,integracja,5000
5,7387,SOiA-20260422-59295,LUBELSKIE,m. Lublin,Lublin,51.223192,22.521432,Wojewoda,analogowa,900,NIE,NIE,26742.565157422265,26174.35474778589,26742.57,26174.35,dominant_siren_proxy,integracja,5000
6,2930,SOiA-20260423-63016,WIELKOPOLSKIE,wrzesiński,Września,52.325569,17.565689,Burmistrz,analogowa,1200,NIE,NIE,26343.675393449128,27096.896289163866,26343.68,27096.9,dominant_siren_proxy,integracja,5000
7,3673,SOiA-20260423-86558,ŁÓDZKIE,m. Łódź,Łódź,51.799848,19.454944,Prezydent Miasta,cyfrowa,1200,NIE,NIE,26299.79885058673,26888.671662519864,26299.8,26888.67,dominant_siren_proxy,integracja,5000
8,1608,SOiA-20260424-83208,KUJAWSKO-POMORSKIE,m. Bydgoszcz,Bydgoszcz,53.12406,17.984475,Wojewoda,cyfrowa,2000,TAK,NIE,26100.05456371287,27372.955186534255,26100.05,27372.96,dominant_siren_proxy,walidacja_terenowa,0
9,12498,SOiA-20260420-54208,MAŁOPOLSKIE,m. Kraków,Kraków,50.028538,19.911751,Wojewoda,analogowa,1200,NIE,NIE,25500.820177672293,25503.45692315213,25500.82,25503.46,dominant_siren_proxy,integracja,5000
10,19688,SOiA-20260413-67652,DOLNOŚLĄSKIE,m. Wrocław,Wrocław,51.143605,17.128164,Prezydent Miasta,cyfrowa,1500,NIE,NIE,24891.965307568928,25469.35647460806,24891.97,25469.36,dominant_siren_proxy,integracja,5000
11,3040,SOiA-20260423-69231,ŁÓDZKIE,m. Łódź,Łódź,51.732075,19.455411,Prezydent Miasta,cyfrowa,1200,NIE,NIE,24807.887099884243,24901.404818459763,24807.89,24901.4,dominant_siren_proxy,integracja,5000
12,19723,SOiA-20260413-13504,DOLNOŚLĄSKIE,m. Wrocław,Wrocław,51.081797,17.035965,Prezydent Miasta,cyfrowa,1500,NIE,NIE,24647.005231184125,23818.438894051786,24647.01,23818.44,dominant_siren_proxy,integracja,5000
13,19730,SOiA-20260413-38379,DOLNOŚLĄSKIE,m. Wrocław,Wrocław,51.114198,16.953421,Prezydent Miasta,cyfrowa,1500,NIE,NIE,24588.67086151576,24677.36231967334,24588.67,24677.36,dominant_siren_proxy,integracja,5000
14,3114,SOiA-20260423-80463,ŁÓDZKIE,m. Łódź,Łódź,51.716628,19.484375,Prezydent Miasta,cyfrowa,1200,NIE,NIE,23750.176914563388,23651.375053308915,23750.18,23651.38,dominant_siren_proxy,integracja,5000
15,19686,SOiA-20260413-49123,DOLNOŚLĄSKIE,m. Wrocław,Wrocław,51.123078,16.986305,Prezydent Miasta,cyfrowa,1500,NIE,NIE,23734.27598401328,23681.518997176856,23734.28,23681.52,dominant_siren_proxy,integracja,5000
16,20905,SOiA-20260409-13003,ŚLĄSKIE,zawierciański,Zawiercie,50.48497,19.435096,Prezydent Miasta,analogowa,1200,NIE,TAK,23623.314068182382,23151.095025346367,23623.31,23151.1,dominant_siren_proxy,integracja,5000
17,451,SOiA-20260424-00145,MAZOWIECKIE,Warszawa,Ursynów,52.132449,21.059236,Prezydent Miasta,cyfrowa,1200,NIE,NIE,23566.711520031768,23181.144271173423,23566.71,23181.14,dominant_siren_proxy,integracja,5000
18,10085,SOiA-20260421-34361,LUBELSKIE,m. Lublin,Lublin,51.255567,22.581155,Wojewoda,analogowa,900,NIE,NIE,23434.345106979592,23353.083804578575,23434.35,23353.08,dominant_siren_proxy,integracja,5000
19,2465,SOiA-20260423-24654,ŁÓDZKIE,m. Łódź,Łódź,51.747269,19.490623,Prezydent Miasta,cyfrowa,1200,NIE,NIE,22802.15217257985,22944.956161256247,22802.15,22944.96,dominant_siren_proxy,integracja,5000
20,2578,SOiA-20260423-32051,ŁÓDZKIE,m. Łódź,Łódź,51.794657,19.376418,Prezydent Miasta,cyfrowa,1200,NIE,NIE,21445.655545930684,21811.950690497782,21445.66,21811.95,dominant_siren_proxy,integracja,5000
21,19731,SOiA-20260413-75036,MAŁOPOLSKIE,m. Kraków,Kraków,50.015952,20.015768,KW PSP,cyfrowa,600,TAK,NIE,21157.329661904405,21539.557431358473,21157.33,21539.56,dominant_siren_proxy,walidacja_terenowa,0
22,15227,SOiA-20260416-45744,WIELKOPOLSKIE,m. Poznań,Poznań,52.391184,16.921641,Prezydent Miasta,analogowa,1200,NIE,NIE,20955.961519674376,20117.935063115212,20955.96,20117.94,dominant_siren_proxy,integracja,5000
23,12355,SOiA-20260420-86298,MAŁOPOLSKIE,m. Kraków,Kraków,50.011678,19.955081,Wojewoda,analogowa,1200,NIE,NIE,20377.036112911883,20364.370149071332,20377.04,20364.37,dominant_siren_proxy,integracja,5000
24,19599,SOiA-20260413-16132,DOLNOŚLĄSKIE,m. Wrocław,Wrocław,51.063884,16.999964,Prezydent Miasta,cyfrowa,1500,NIE,NIE,20311.765220792804,20336.711859089697,20311.77,20336.71,dominant_siren_proxy,integracja,5000
