wojewodztwo,powiat,gmina,wojewodztwo_key,powiat_key,gmina_key,siren_records_without_gsm,unique_sites_without_gsm,integration_cost_records_pln,integration_cost_unique_sites_pln
WIELKOPOLSKIE,m. Poznań,Poznań,wielkopolskie,m_poznan,poznan,131,131,655000,655000
MAŁOPOLSKIE,m. Kraków,Kraków,malopolskie,m_krakow,krakow,99,97,495000,485000
PODLASKIE,m. Białystok,Białystok,podlaskie,m_bialystok,bialystok,99,99,495000,495000
POMORSKIE,m. Gdańsk,Gdańsk,pomorskie,m_gdansk,gdansk,95,94,475000,470000
ZACHODNIOPOMORSKIE,m. Szczecin,Szczecin,zachodniopomorskie,m_szczecin,szczecin,86,79,430000,395000
ŚLĄSKIE,m. Częstochowa,Częstochowa,slaskie,m_czestochowa,czestochowa,80,80,400000,400000
KUJAWSKO-POMORSKIE,m. Bydgoszcz,Bydgoszcz,kujawsko_pomorskie,m_bydgoszcz,bydgoszcz,79,79,395000,395000
POMORSKIE,m. Gdynia,Gdynia,pomorskie,m_gdynia,gdynia,69,68,345000,340000
MAZOWIECKIE,Warszawa,Śródmieście,mazowieckie,warszawa,srodmiescie,63,63,315000,315000
ŁÓDZKIE,m. Łódź,Łódź,lodzkie,m_lodz,lodz,56,55,280000,275000
DOLNOŚLĄSKIE,m. Wrocław,Wrocław,dolnoslaskie,m_wroclaw,wroclaw,55,55,275000,275000
PODKARPACKIE,m. Rzeszów,Rzeszów,podkarpackie,m_rzeszow,rzeszow,53,50,265000,250000
ŚLĄSKIE,m. Dąbrowa Górnicza,Dąbrowa Górnicza,slaskie,m_dabrowa_gornicza,dabrowa_gornicza,52,51,260000,255000
KUJAWSKO-POMORSKIE,m. Toruń,Toruń,kujawsko_pomorskie,m_torun,torun,51,50,255000,250000
WARMIŃSKO-MAZURSKIE,m. Olsztyn,Olsztyn,warminsko_mazurskie,m_olsztyn,olsztyn,51,51,255000,255000
MAZOWIECKIE,m. Płock,Płock,mazowieckie,m_plock,plock,47,46,235000,230000
MAZOWIECKIE,m. Radom,Radom,mazowieckie,m_radom,radom,46,46,230000,230000
LUBELSKIE,m. Lublin,Lublin,lubelskie,m_lublin,lublin,45,45,225000,225000
WIELKOPOLSKIE,ostrowski,Ostrów Wielkopolski,wielkopolskie,ostrowski,ostrow_wielkopolski,45,45,225000,225000
LUBUSKIE,m. Zielona Góra,Zielona Góra,lubuskie,m_zielona_gora,zielona_gora,44,43,220000,215000
OPOLSKIE,kędzierzyńsko-kozielski,Kędzierzyn-Koźle,opolskie,kedzierzynsko_kozielski,kedzierzyn_kozle,44,43,220000,215000
ŚLĄSKIE,m. Katowice,Katowice,slaskie,m_katowice,katowice,44,44,220000,220000
MAZOWIECKIE,Warszawa,Mokotów,mazowieckie,warszawa,mokotow,43,42,215000,210000
ŚWIĘTOKRZYSKIE,m. Kielce,Kielce,swietokrzyskie,m_kielce,kielce,41,40,205000,200000
MAZOWIECKIE,Warszawa,Bielany,mazowieckie,warszawa,bielany,38,36,190000,180000
ŚLĄSKIE,m. Bielsko-Biała,Bielsko-Biała,slaskie,m_bielsko_biala,bielsko_biala,38,37,190000,185000
MAZOWIECKIE,Warszawa,Praga-Południe,mazowieckie,warszawa,praga_poludnie,37,35,185000,175000
WIELKOPOLSKIE,m. Konin,Konin,wielkopolskie,m_konin,konin,37,32,185000,160000
